"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"14-Mar-2023","14-Mar-2023","PE","17,500.00","29.95","62.50","0.05","1.35","0.05","17,545.75","764546880","13,395,848,199,520.00","16,277,799,520.00","4937000","3156240.00"
"13-Mar-2023","14-Mar-2023","PE","17,500.00","5.80","52.80","1.55","36.35","34.50","36.35","93390040","1,636,152,428,800.00","1,826,728,800.00","1780760","143120.00"
"10-Mar-2023","14-Mar-2023","PE","17,500.00","2.70","16.00","1.65","4.95","5.75","4.95","24364680","426,552,083,358.00","170,183,358.00","1637640","823680.00"
"09-Mar-2023","14-Mar-2023","PE","17,500.00","6.35","6.90","0.80","1.00","1.45","1.00","3308080","57,899,493,398.00","8,093,398.00","813960","320000.00"
"08-Mar-2023","14-Mar-2023","PE","17,500.00","12.00","16.50","5.35","6.35","6.00","6.35","2715800","47,547,350,424.00","20,850,424.00","493960","433000.00"
"06-Mar-2023","14-Mar-2023","PE","17,500.00","10.00","10.00","4.30","5.65","5.40","5.65","240960","4,218,148,712.00","1,348,712.00","60960","43720.00"
"03-Mar-2023","14-Mar-2023","PE","17,500.00","20.10","20.15","7.25","9.05","9.30","9.05","61520","1,077,258,140.00","658,140.00","17240","13000.00"
"02-Mar-2023","14-Mar-2023","PE","17,500.00","24.25","38.90","21.15","34.30","31.00","34.30","10320","180,914,344.00","314,344.00","4240","3080.00"
"01-Mar-2023","14-Mar-2023","PE","17,500.00","48.55","48.55","23.65","24.20","23.65","24.20","3640","63,799,298.00","99,298.00","1160","1120.00"
"28-Feb-2023","14-Mar-2023","PE","17,500.00","150.00","150.00","150.00","150.00","150.00","127.65","40","706,000.00","6,000.00","40","40.00"
"27-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","133.85","0","-","-","0","0.00"
"24-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","197.20","0","-","-","0","0.00"
"23-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","191.40","0","-","-","0","0.00"
"22-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","191.25","0","-","-","0","0.00"
"21-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","119.15","0","-","-","0","0.00"
"20-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","128.10","0","-","-","0","0.00"
"17-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","111.25","0","-","-","0","0.00"
"16-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","92.10","0","-","-","0","0.00"
"15-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","90.35","0","-","-","0","0.00"
"14-Feb-2023","14-Mar-2023","PE","17,500.00","-","-","-","176.80","-","101.70","0","-","-","0","0.00"